기간	자치구	사업체수	사업체수	사업체수	사업체수	사업체수	사업체수	종사자수	종사자수	종사자수	종사자수	종사자수	종사자수
기간	자치구	계	소상공인	중소기업	중소기업	중소기업	대기업	계	소상공인	중소기업	중소기업	중소기업	대기업
기간	자치구	계	소상공인	소계	소기업	중기업	대기업	계	소상공인	소계	소기업	중기업	대기업
2018	서울시	776,357	636,666	774,695	740,697	33,998	1,662	4,258,194	1,214,721	3,612,973	2,287,893	1,325,080	645,221
2018	종로구	37,507	31,923	37,387	36,109	1,278	120	203,613	60,307	141,389	97,803	43,586	62,224
2018	중구	58,766	51,237	58,506	56,441	2,065	260	327,484	108,596	242,748	157,978	84,770	84,736
2018	용산구	19,538	15,630	19,481	18,238	1,243	57	112,101	29,532	93,394	53,296	40,098	18,707
2018	성동구	26,466	20,946	26,439	25,002	1,437	27	145,099	44,075	136,393	90,167	46,226	8,706
2018	광진구	23,270	19,595	23,259	22,530	729	11	98,069	37,337	90,381	65,947	24,434	7,688
2018	동대문구	30,314	26,716	30,298	29,595	703	16	104,013	50,724	101,493	78,648	22,845	2,520
2018	중랑구	26,630	23,941	26,626	26,229	397	4	82,807	44,153	82,054	69,860	12,194	753
2018	성북구	21,675	18,988	21,673	21,237	436	2	71,727	35,358	71,448	56,493	14,955	X
2018	강북구	17,691	15,675	17,688	17,393	295	3	53,624	27,723	53,442	44,455	8,987	182
2018	도봉구	17,689	15,852	17,683	17,402	281	6	54,063	26,990	53,477	44,393	9,084	586
2018	노원구	24,805	21,445	24,799	24,252	547	6	79,812	35,564	79,071	63,335	15,736	741
2018	은평구	23,240	20,712	23,235	22,811	424	5	65,521	33,858	64,970	54,501	10,469	551
2018	서대문구	18,333	15,716	18,316	17,817	499	17	68,632	27,033	64,577	47,539	17,038	4,055
2018	마포구	35,113	27,080	35,029	33,235	1,794	84	219,667	53,727	195,401	113,971	81,430	24,266
2018	양천구	24,507	21,006	24,499	23,812	687	8	93,199	37,484	91,406	67,157	24,249	1,793
2018	강서구	36,283	29,659	36,232	34,779	1,453	51	214,147	54,588	164,698	111,762	52,936	49,449
2018	구로구	36,781	30,456	36,735	35,300	1,435	46	186,757	57,233	171,168	110,753	60,415	15,589
2018	금천구	31,135	23,686	31,079	29,374	1,705	56	217,654	52,639	196,257	125,606	70,651	21,397
2018	영등포구	40,014	31,982	39,843	37,589	2,254	171	301,089	60,800	233,685	122,673	111,012	67,404
2018	동작구	18,434	15,673	18,418	17,946	472	16	79,790	28,642	73,488	51,815	21,673	6,302
2018	관악구	24,480	21,117	24,472	23,941	531	8	85,094	37,204	83,198	64,806	18,392	1,896
2018	서초구	42,976	31,238	42,808	39,435	3,373	168	373,195	63,142	288,555	144,891	143,664	84,640
2018	강남구	67,372	46,104	66,955	60,359	6,596	417	611,495	95,028	493,415	238,064	255,351	118,080
2018	송파구	45,147	35,868	45,068	42,427	2,641	79	291,304	69,686	244,474	137,177	107,297	46,830
2018	강동구	28,191	24,421	28,167	27,444	723	24	118,238	43,298	102,391	74,803	27,588	15,847
