기간	자치구	혼인	혼인	이혼
기간	자치구	남편	아내	이혼
2019	합계	48,261	48,489	16,972
2019	종로구	590	599	260
2019	중구	722	665	230
2019	용산구	1,303	1,246	372
2019	성동구	1,758	1,604	528
2019	광진구	1,893	1,955	591
2019	동대문구	1,613	1,602	692
2019	중랑구	2,031	2,101	960
2019	성북구	1,880	1,903	661
2019	강북구	1,260	1,369	697
2019	도봉구	1,316	1,423	702
2019	노원구	2,138	2,179	903
2019	은평구	2,178	2,228	905
2019	서대문구	1,440	1,426	473
2019	마포구	2,029	2,028	565
2019	양천구	1,705	1,796	727
2019	강서구	3,589	3,548	1,103
2019	구로구	2,063	2,135	733
2019	금천구	1,243	1,175	540
2019	영등포구	2,449	2,105	684
2019	동작구	2,057	2,239	557
2019	관악구	2,802	2,956	875
2019	서초구	2,084	2,107	615
2019	강남구	2,338	2,414	772
2019	송파구	3,651	3,515	1,060
2019	강동구	2,129	2,171	767
