상호명,지점명,상권업종중분류코드,도로명주소,경도,위도,시,구,ID
스타벅스,,Q12,강원도 원주시 금불1길 28-5,127.931032015516,37.3484655132127,강원도,원주시,원주
스타벅스,오션월드2호점,Q12,강원도 홍천군 서면 한치골길 262,127.687272903554,37.652323738755705,강원도,홍천군,홍천
스타벅스,대명델피노리조트점,Q12,강원도 고성군 토성면 미시령옛길 1153,128.493408377372,38.213128237820705,강원도,고성군,고성(경남)
스타벅스,강대점,Q12,강원도 춘천시 서부대성로 243-1,127.745086615044,37.8727596024213,강원도,춘천시,춘천
스타벅스,속초중앙로점,Q12,강원도 속초시 중앙로 123,128.589463214419,38.2026214250362,강원도,속초시,속초
스타벅스,,Q12,강원도 강릉시 경강로 2194-1,128.904526194739,37.760727854969204,강원도,강릉시,강릉
스타벅스,춘천이마트점,Q12,강원도 춘천시 경춘로 2341,127.71726044510599,37.8639560859478,강원도,춘천시,춘천
스타벅스,,Q12,강원도 고성군 간성읍 간성로 36,128.47102546062598,38.3792218504065,강원도,고성군,고성(경남)
스타벅스,문막점,Q12,강원도 원주시 문막읍 문막시장1길 32,127.816601464438,37.3069552958556,강원도,원주시,원주
스타벅스,,Q12,강원도 삼척시 진주로 30-49,129.165409483626,37.443582504588,강원도,삼척시,삼척
스타벅스,,Q12,강원도 태백시 장성시장1길 6,129.01029100020799,37.100894569579104,강원도,태백시,태백
스타벅스,,Q12,강원도 인제군 기린면 기린로42번길 3-1,128.31840740442,37.9558684267042,강원도,인제군,인제
스타벅스,춘천명동점,Q12,강원도 춘천시 중앙로 55,127.727566445736,37.8800367182363,강원도,춘천시,춘천
스타벅스,원주터미널점,Q12,강원도 원주시 서원대로 178,127.931103954128,37.343851860227,강원도,원주시,원주
스타벅스,용평리조트점,Q12,강원도 평창군 대관령면 올림픽로 715,128.70554181103398,37.6509528563083,강원도,평창군,평창
스타벅스,원주단구점,Q12,강원도 원주시 서원대로 402,127.949284286612,37.3304614888291,강원도,원주시,원주
스타벅스강릉안목항점,강릉안목항점,Q12,강원도 강릉시 창해로14번길 40,128.948708774863,37.771399898754,강원도,강릉시,강릉
스타벅스,강릉중앙로점,Q12,강원도 강릉시 경강로 2096,128.896189398253,37.7545474684864,강원도,강릉시,강릉
스타벅스,휘닉스파크점,Q12,강원도 평창군 봉평면 태기로 174,128.309595918605,37.57374985338821,강원도,평창군,평창
스타벅스속초DT점,속초DT점,Q12,강원도 속초시 동해대로 4114,128.584417728286,38.189906927363296,강원도,속초시,속초
스타벅스춘천석사DT점,춘천석사DT점,Q12,강원도 춘천시 후석로 13,127.73932355908998,37.8566635924656,강원도,춘천시,춘천
스타벅스강원대점2강원대점,강원대점,Q12,강원도 춘천시 서부대성로 243-1,127.745086615044,37.8727596024213,강원도,춘천시,춘천
스타벅스,춘천석사DT점,Q12,강원도 춘천시 후석로 13,127.73926661138701,37.8566995076552,강원도,춘천시,춘천
스타벅스커피원주혁신도시,,Q12,강원도 원주시 혁신로 55,127.9804201497,37.3234330261885,강원도,원주시,원주
스타벅스춘천후평DT점,춘천후평DT점,Q12,강원도 춘천시 후석로 318,127.750622483813,37.87942104995471,강원도,춘천시,춘천
스타벅스설악워터피아점,설악워터피아점,Q12,강원도 속초시 미시령로2983번길 88,128.52786734361402,38.2077347097235,강원도,속초시,속초
스타벅스,춘천후평DT점,Q12,강원도 춘천시 후석로 316,127.75053160332399,37.8794028368605,강원도,춘천시,춘천
스타벅스,원주혁신도시,Q12,강원도 원주시 혁신로 61,127.98082636437599,37.323397048067,강원도,원주시,원주
스타벅스,원주무실점,Q12,강원도 원주시 능라동길 73,127.930244824767,37.3331100843841,강원도,원주시,원주
스타벅스커피원주혁신도시,,Q12,강원도 원주시 혁신로 61,127.98082636437599,37.323397048067,강원도,원주시,원주
스타벅스,설악쏘라노점,Q12,강원도 속초시 미시령로2983번길 111,128.52867585314698,38.2105871479139,강원도,속초시,속초
스타벅스,동해DT점,Q12,강원도 동해시 중앙로 219,129.114686884468,37.5201742036767,강원도,동해시,동해
스타벅스,원주명륜DT점,Q12,강원도 원주시 남원로 588,127.94983354993,37.3359945650883,강원도,원주시,원주
스타벅스,비발디파크점,Q12,강원도 홍천군 서면 한치골길 264,127.68583971510901,37.6481840552354,강원도,홍천군,홍천
스타벅스,춘천온의점,Q12,강원도 춘천시 방송길 104,127.72081567455,37.8675326471007,강원도,춘천시,춘천
스타벅스,강릉강문해변점,Q12,강원도 강릉시 창해로350번길 3,128.918521062936,37.7947771620177,강원도,강릉시,강릉
스타벅스,춘천구봉산R점,Q12,강원도 춘천시 동면 순환대로 1154-63,127.77594531708598,37.888410160658395,강원도,춘천시,춘천
스타벅스,강릉송정DT점,Q12,강원도 강릉시 경강로 2400,128.922960209512,37.771919740036004,강원도,강릉시,강릉
스타벅스,원주반곡DT점,Q12,강원도 원주시 동부순환로 37,127.97171064938999,37.3198267998095,강원도,원주시,원주
커피빈,,Q12,강원도 동해시 일출로 107,129.11896272175198,37.5527153220601,강원도,동해시,동해
커피빈,코리아원주AK플라자점,Q12,강원도 원주시 봉화로 1,127.92762594653999,37.3456790421194,강원도,원주시,원주
커피빈,곰씨네,Q12,강원도 춘천시 동내면 춘천순환로 61-15,127.751359475774,37.856311186948204,강원도,춘천시,춘천
